Gene names  (ordered locus )	Entry	DNA binding	Metal binding	Nucleotide binding	Site	Cross-link	Disulfide bond	Glycosylation	Lipidation	Modified residue	Peptide	Propeptide	Signal peptide	Transit peptide	Coiled coil	Domain [CC]	Domain [FT]	Motif	Region	Zinc finger
YIL037C	P40534																			
YIL153W	P40454									"MOD_RES 341;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198"""									"REGION 328..393;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGL030W	P14120					"CROSSLNK 22;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047""; CROSSLNK 53;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047""; CROSSLNK 83;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047"""														
YNL187W	P53873																			
YPL057C	P33300									"MOD_RES 349;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358, ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198"""										
YBR294W	P38359							"CARBOHYD 51;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 93;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 358;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 391;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 630;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 653;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 718;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""									"DOMAIN 630..808;  /note=""STAS"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00198"""			
YJL109C	P42945									"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0007744|PubMed:22814378"""										
YLR354C	P15019									"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0000269|PubMed:9298649"""										
YPL160W	P26637									"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0007744|PubMed:22814378""; MOD_RES 142;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:19779198"""								"MOTIF 66..76;  /note=""'HIGH' region""; MOTIF 729..733;  /note=""'KMSKS' region"""		
YDL077C	Q07468																			
YDL193W	Q12063																		"REGION 1..48;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YIL031W	P40537									"MOD_RES 788;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 903;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 983;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 984;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 1..42;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 71..110;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 388..419;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 731..800;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 841..960;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 983..1034;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
